2024-09-13T16:17:33.159Z - IP: 51.208.59.112, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.190Z - IP: d9d:36c0:e7b6:a6d:c48e:ad9e:a661:e853, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.191Z - IP: 13.138.114.25, Status: Tráfego bloqueado: requisição de 5503B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.191Z - IP: 159.93.54.79, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.191Z - IP: 175.74.74.112, Status: Tráfego bloqueado: requisição de 5240B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.192Z - IP: 4dc8:9e59:64f6:5b19:2acd:14fc:bcca:8cab, Status: Tráfego bloqueado: requisição de 5524B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.192Z - IP: 53.254.234.52, Status: Tráfego bloqueado: requisição de 4473B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.193Z - IP: 162.86.96.220, Status: Tráfego bloqueado: requisição de 5130B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.193Z - IP: 3f06:3e65:c498:3872:f31d:b2ce:1415:18a, Status: Tráfego bloqueado: requisição de 5246B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.193Z - IP: 3c0:3147:2256:bbbd:5c2e:e006:a8e5:74, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.194Z - IP: e0b9:e8fb:414d:c791:d27e:a3b3:6332:b1e4, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.194Z - IP: 208.18.27.110, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.194Z - IP: 202.206.239.71, Status: Tráfego bloqueado: requisição de 6440B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.195Z - IP: 109.73.163.216, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.195Z - IP: 63.118.177.184, Status: Tráfego bloqueado: requisição de 5510B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.195Z - IP: 98.197.20.168, Status: Tráfego bloqueado: requisição de 4144B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.196Z - IP: 62.43.91.245, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.196Z - IP: 6184:c147:4538:efee:d1f0:ff81:eda5:1465, Status: Tráfego bloqueado: requisição de 4857B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.197Z - IP: 16.38.215.44, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.197Z - IP: 222.181.221.87, Status: Tráfego bloqueado: requisição de 8163B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.197Z - IP: 203.113.206.104, Status: Tráfego bloqueado: Método HTTP PATCH não permitido, Severidade: 0
2024-09-13T16:17:33.198Z - IP: 60.237.185.56, Status: Tráfego bloqueado: requisição de 6402B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.198Z - IP: 153.67.53.47, Status: Tráfego bloqueado: requisição de 4062B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.199Z - IP: 121.44.189.208, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.199Z - IP: 6.37.210.113, Status: Tráfego bloqueado: requisição de 4018B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.199Z - IP: 139.160.74.185, Status: Tráfego bloqueado: requisição de 4369B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.200Z - IP: ded:4f19:6e47:1ac3:d6d0:2ea5:4935:8c6, Status: Tráfego bloqueado: requisição de 5199B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.200Z - IP: f77:7d63:bc70:2473:7ae2:c243:3b4c:e01c, Status: Tráfego bloqueado: requisição de 5129B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.201Z - IP: 193.206.235.29, Status: Tráfego bloqueado: requisição de 10380B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.201Z - IP: c4c2:abea:fe7c:5e35:28c3:7c92:eae6:d32a, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.201Z - IP: 557b:1074:fa5a:f4f7:f9f1:d308:87df:8d90, Status: Tráfego bloqueado: requisição de 4493B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.202Z - IP: 161.194.109.104, Status: Tráfego bloqueado: requisição de 6863B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.202Z - IP: 26.22.43.163, Status: Tráfego bloqueado: requisição de 4664B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.203Z - IP: 195.124.204.247, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.203Z - IP: 8ad9:9642:322b:3015:e116:cc11:718c:5383, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.203Z - IP: 278e:2b72:5a3f:3c6e:f5c1:3f63:358f:91aa, Status: Tráfego bloqueado: requisição de 5945B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.204Z - IP: 96ce:e7b1:57e8:6efa:d52:5da8:8ee6:ee20, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.204Z - IP: 9.69.47.17, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.205Z - IP: 98.170.21.199, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.205Z - IP: 31f2:9266:fc4f:d770:5997:d0b2:c2b1:7865, Status: Tráfego bloqueado: requisição de 5882B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.205Z - IP: 31.131.48.204, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.206Z - IP: 96.152.27.237, Status: Tráfego bloqueado: requisição de 6487B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.206Z - IP: 209.98.11.76, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.206Z - IP: 163.203.134.192, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.207Z - IP: 129.250.178.34, Status: Tráfego bloqueado: requisição de 6512B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.207Z - IP: 8969:efd3:4dfb:c31:dc92:2ebe:5660:e9ce, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.208Z - IP: b4cb:677d:2d56:16e1:2080:e381:79bc:6990, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.208Z - IP: 6896:bb45:7523:eb4c:8444:e29a:7345:ad57, Status: Tráfego bloqueado: Método HTTP OPTIONS não permitido, Severidade: 0
2024-09-13T16:17:33.208Z - IP: 17.115.142.0, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.209Z - IP: 128.40.28.16, Status: Tráfego bloqueado: requisição de 25181B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.209Z - IP: 181.99.122.47, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.210Z - IP: 6b3a:8b99:836e:b0df:f21e:97e7:7690:e322, Status: Tráfego bloqueado: Path Traversal - /windows/win.ini, Severidade: 4
2024-09-13T16:17:33.210Z - IP: 60.91.63.198, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.210Z - IP: 154.244.130.33, Status: Tráfego bloqueado: requisição de 4888B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.211Z - IP: 141.148.116.60, Status: Tráfego bloqueado: requisição de 6408B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.211Z - IP: 115.123.16.79, Status: Tráfego bloqueado: Método HTTP OPTIONS não permitido, Severidade: 0
2024-09-13T16:17:33.212Z - IP: 72.195.131.59, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.212Z - IP: 5.94.86.54, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.212Z - IP: b7f1:51f7:7238:e28e:9d1a:6212:d254:26e9, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.213Z - IP: 2.182.65.26, Status: Tráfego bloqueado: requisição de 5624B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.213Z - IP: 156.92.170.62, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.213Z - IP: 88.225.96.138, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.213Z - IP: 143.192.219.104, Status: Tráfego bloqueado: requisição de 6534B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.214Z - IP: 154.137.30.206, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.214Z - IP: 144.43.7.43, Status: Tráfego bloqueado: requisição de 6618B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.215Z - IP: 216.37.66.150, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.215Z - IP: 821a:a59b:d30f:9252:ad24:2733:74d5:3483, Status: Tráfego bloqueado: requisição de 5623B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.215Z - IP: 949b:25a4:aada:9f54:8138:bacf:97d3:607b, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.215Z - IP: abca:6212:1096:ca7b:995f:a:5180:6251, Status: Tráfego bloqueado: requisição de 5889B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.216Z - IP: 16.159.225.176, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.216Z - IP: 199.127.176.185, Status: Tráfego bloqueado: requisição de 5205B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.216Z - IP: 158.240.206.108, Status: Tráfego bloqueado: requisição de 5895B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.217Z - IP: 8879:e3ec:e444:a176:67eb:b0da:4590:d95, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.217Z - IP: 131.34.14.26, Status: Tráfego bloqueado: requisição de 5099B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.217Z - IP: a688:e24d:3d2c:30cf:656c:a815:e66b:435e, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.218Z - IP: 66.170.211.253, Status: Tráfego bloqueado: requisição de 5178B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.218Z - IP: 74.92.18.110, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.218Z - IP: e278:c67:da3:f346:7cbd:b7fc:6725:1f83, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.219Z - IP: 208.56.210.58, Status: Tráfego bloqueado: requisição de 6608B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.220Z - IP: 219.174.86.216, Status: Tráfego bloqueado: requisição de 6404B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.220Z - IP: 210.115.40.248, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.220Z - IP: 8e1b:644e:4cad:9ccd:38f8:cd64:169:bcb2, Status: Tráfego bloqueado: requisição de 6968B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.221Z - IP: 92.255.137.66, Status: Tráfego bloqueado: requisição de 7506B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.221Z - IP: a04a:592d:b97b:91e1:e999:3308:c129:bb09, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.221Z - IP: 3dc6:5a91:f39e:2c95:b832:8072:1f62:9fd1, Status: Tráfego bloqueado: requisição de 4516B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.221Z - IP: bfed:fff6:1562:92b2:2d04:2dcb:ea8:c1b5, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.222Z - IP: 217.198.62.17, Status: Tráfego bloqueado: requisição de 5912B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.222Z - IP: 32.168.224.172, Status: Tráfego bloqueado: requisição de 6534B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.222Z - IP: 5.220.16.161, Status: Tráfego bloqueado: requisição de 6598B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.223Z - IP: 14.223.170.36, Status: Tráfego bloqueado: requisição de 16013B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.223Z - IP: 42.33.133.98, Status: Tráfego bloqueado: requisição de 4146B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.223Z - IP: 25.80.51.61, Status: Tráfego bloqueado: requisição de 6384B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.224Z - IP: 68c7:c7e8:9c7e:5cc1:d382:ad3c:587:3c01, Status: Tráfego bloqueado: requisição de 4092B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.224Z - IP: bc3b:2e04:64e5:a947:3af1:e3e7:8fb9:9eca, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.224Z - IP: 11dd:a4:c46b:e95a:806f:d9a3:e946:7609, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.225Z - IP: 100.40.182.216, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.225Z - IP: 209.158.28.49, Status: Tráfego bloqueado: requisição de 5864B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.225Z - IP: 50.27.100.33, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.225Z - IP: 4e31:99eb:683b:81c3:1cd0:9058:ac77:d9c, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.226Z - IP: 6.174.174.121, Status: Tráfego bloqueado: requisição de 5484B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.226Z - IP: 13.235.167.220, Status: Tráfego bloqueado: requisição de 6345B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.226Z - IP: 52.62.129.18, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.226Z - IP: 98.77.206.103, Status: Tráfego bloqueado: requisição de 4738B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.227Z - IP: 219.174.86.216, Status: Tráfego bloqueado: requisição de 4803B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.227Z - IP: 1de1:e430:6339:ee5d:9ee1:c3bf:8fd9:1089, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.228Z - IP: 163.161.23.210, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.228Z - IP: 73.83.126.197, Status: Tráfego bloqueado: HTTP não permitido, Severidade: 3
2024-09-13T16:17:33.228Z - IP: 92.126.154.181, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.228Z - IP: 58.53.226.136, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.229Z - IP: 10.182.218.251, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.229Z - IP: 9b0:e51a:6340:c724:51be:e0c7:9e12:38d, Status: Tráfego bloqueado: Método HTTP OPTIONS não permitido, Severidade: 0
2024-09-13T16:17:33.229Z - IP: f0f7:7967:1fb7:1387:d1f6:337f:5bd2:2adb, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.230Z - IP: 43.101.9.83, Status: Tráfego bloqueado: requisição de 4318B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.230Z - IP: 97.15.158.160, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.230Z - IP: 181.37.150.112, Status: Tráfego bloqueado: requisição de 5981B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.231Z - IP: 142.202.70.244, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.231Z - IP: 65.69.45.189, Status: Tráfego bloqueado: requisição de 5357B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.231Z - IP: 171.26.86.1, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.232Z - IP: 113.19.13.53, Status: Tráfego bloqueado: requisição de 6331B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.232Z - IP: cad6:878f:a91e:78d:38bd:30f3:e491:1cc4, Status: Tráfego bloqueado: requisição de 4391B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.232Z - IP: ccdc:70f8:b803:7a5f:61c3:c3b1:39a:32f3, Status: Tráfego bloqueado: Método HTTP OPTIONS não permitido, Severidade: 0
2024-09-13T16:17:33.232Z - IP: 212.130.9.180, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.232Z - IP: 5317:2e93:bae5:4ce7:392:215:967b:4d1f, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.233Z - IP: ae72:dfef:3680:b22d:3253:3bee:ab:1481, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.233Z - IP: 6.143.223.54, Status: Tráfego bloqueado: requisição de 4706B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.233Z - IP: c18e:fb8:2e4e:36ca:910d:a6d:237:9863, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.234Z - IP: 23.159.246.188, Status: Tráfego bloqueado: requisição de 6499B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.234Z - IP: 222.2.129.147, Status: Tráfego bloqueado: requisição de 4115B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.234Z - IP: d7e9:2c02:8c8a:a109:2b4f:b9af:b5c6:afe6, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.235Z - IP: 146.96.22.19, Status: Tráfego bloqueado: requisição de 5279B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.235Z - IP: 1.197.149.223, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.236Z - IP: 77.239.229.187, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.236Z - IP: 98.182.161.245, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.236Z - IP: 76.240.20.120, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.236Z - IP: 70.35.169.69, Status: Tráfego bloqueado: requisição de 7016B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.237Z - IP: fcaf:91b6:d343:20a2:c74e:f9f6:9728:e527, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.237Z - IP: c328:b720:dd3c:e255:e51:dd0d:22fa:75f9, Status: Tráfego bloqueado: requisição de 4056B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.237Z - IP: fe90:641e:5643:a0c0:59f5:f317:f7eb:19db, Status: Tráfego bloqueado: requisição de 4153B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.238Z - IP: 68.210.202.179, Status: Tráfego bloqueado: requisição de 5398B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.238Z - IP: 23.233.174.214, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.239Z - IP: eff5:28dd:ea7e:5fe7:200f:d974:5a85:88f5, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.239Z - IP: 805b:31c7:5c07:fbad:ba69:f58d:f569:67fd, Status: Tráfego bloqueado: requisição de 4095B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.240Z - IP: 189.111.236.123, Status: Tráfego bloqueado: requisição de 6432B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.240Z - IP: 222.2.129.147, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.241Z - IP: d5b0:9ff0:bbb6:6201:f909:da53:fd2:6374, Status: Tráfego bloqueado: requisição de 5415B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.241Z - IP: 159.168.200.38, Status: Tráfego bloqueado: requisição de 6488B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.242Z - IP: 57.112.34.158, Status: Tráfego bloqueado: requisição de 6593B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.242Z - IP: 7799:4989:1cdb:b0da:2781:2843:2a4a:497b, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.242Z - IP: 62.162.224.138, Status: Tráfego bloqueado: requisição de 5153B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.243Z - IP: 157.226.241.234, Status: Tráfego bloqueado: requisição de 6809B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.243Z - IP: 5384:10d3:55d4:873c:b5e3:d14c:b2f3:699c, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.243Z - IP: 35.96.80.127, Status: Tráfego bloqueado: requisição de 4787B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.244Z - IP: 128.3.125.57, Status: Tráfego bloqueado: requisição de 5983B excede limite máximo de tamanho, Severidade: 4
2024-09-13T16:17:33.244Z - IP: 10.3.255.8, Status: Tráfego desconhecido permitido, Severidade: 0
2024-09-13T16:17:33.245Z - IP: 8b16:4505:252a:7a41:c15:534e:a894:f039, Status: Tráfego desconhecido permitido, Severidade: 0
